# This RNR data was obtained partly from the authors (data in Fig 2 of BMC 2005) and also using Plot Digitizer (e.g. those in scientific notation).																								
# values of zero leading a seqence of increasing concentrations were set to 1e-2 (essentially zero) to allow [x]>0 subsetting.																								
#R1	R2	UDP	CDP	GDP	ADP	dTTP	dTTPf	dGTP	dGTPf	dATP	dATPf	ATP	Mg	v	mass	n	fg	year	jrnl	vol	page	frstAut	organism	
R	r 	U 	C 	G 	A 	t	tf	g	gf	a	af	X	Mg	v	m	n	fg	year	jrnl	vol	page	frstAut	organism	
6.1	0	0	0	0	370	0	0	3.92E+00	1.75E+00	0	0	0	10000	0	1.63E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	7.94E+00	4.23E+00	0	0	0	10000	0	1.65E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	2.25E+01	1.72E+01	0	0	0	10000	0	1.74E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.6	0	0	0	0	0	0	NA	0.266	0	0	0	10000	0	NA	0.219	4	2001	Bioc 	40	1651	ScottCP	mouse	# worked backwards to get L
1.9	9.6	0	0	0	0	0	0	NA	0.465	0	0	0	10000	0	NA	0.488	4	2001	Bioc 	40	1651	ScottCP	mouse	#here R1 is R1 dimer
1.9	9.6	0	0	0	0	0	0	NA	0.675	0	0	0	10000	0	NA	0.716	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.6	0	0	0	0	0	0	NA	1.168	0	0	0	10000	0	NA	1.18	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.6	0	0	0	0	0	0	NA	3.401	0	0	0	10000	0	NA	1.68	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.6	0	0	0	0	0	0	NA	8.622	0	0	0	10000	0	NA	1.69	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	0.269	0	0	0	10000	0	NA	0.135	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	0.616	0	0	0	10000	0	NA	0.493	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	1.22	0	0	0	10000	0	NA	0.991	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	3.452	0	0	0	10000	0	NA	1.65	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	8.106	0	0	0	10000	0	NA	1.84	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.5	0	0	0	0	0	0	NA	13.835	0	0	0	10000	0	NA	1.84	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	0.162	0	0	0	10000	0	NA	0.116	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	0.256	0	0	0	10000	0	NA	0.279	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	0.569	0	0	0	10000	0	NA	0.586	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	1.376	0	0	0	10000	0	NA	1.16	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	3.769	0	0	0	10000	0	NA	1.7	4	2001	Bioc 	40	1651	ScottCP	mouse	
3.6	12	0	0	0	0	0	0	NA	6.667	0	0	0	10000	0	NA	1.88	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.316	0	0	0	0	0	10000	0	NA	0.136	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.308	0	0	0	0	0	10000	0	NA	0.169	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.282	0	0	0	0	0	10000	0	NA	0.174	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.596	0	0	0	0	0	10000	0	NA	0.435	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.65	0	0	0	0	0	10000	0	NA	0.558	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	0.993	0	0	0	0	0	10000	0	NA	0.739	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	1.164	0	0	0	0	0	10000	0	NA	0.957	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	1.915	0	0	0	0	0	10000	0	NA	1.31	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	2.363	0	0	0	0	0	10000	0	NA	1.25	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	2.5	0	0	0	0	0	10000	0	NA	1.45	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	3.687	0	0	0	0	0	10000	0	NA	1.53	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	4.868	0	0	0	0	0	10000	0	NA	1.66	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	7.682	0	0	0	0	0	10000	0	NA	1.79	4	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	9.4	0	0	0	0	NA	7.079	0	0	0	0	0	10000	0	NA	1.89	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	0.394	0	0	0	0	0	10000	0	NA	0.188	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	0.498	0	0	0	0	0	10000	0	NA	0.241	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	0.537	0	0	0	0	0	10000	0	NA	0.345	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	0.95	0	0	0	0	0	10000	0	NA	0.71	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	0.964	0	0	0	0	0	10000	0	NA	0.743	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	1.915	0	0	0	0	0	10000	0	NA	1.22	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	1.913	0	0	0	0	0	10000	0	NA	1.27	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	3.682	0	0	0	0	0	10000	0	NA	1.69	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	4.624	0	0	0	0	0	10000	0	NA	1.72	4	2001	Bioc 	40	1651	ScottCP	mouse	
2.9	14.8	0	0	0	0	NA	6.833	0	0	0	0	0	10000	0	NA	1.92	4	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	1.22E-01	10000	0	9.00E+01	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	# [R1] and [R2] monomers
7	0	0	0	0	0	0	0	0	0	0	0	4.60E+01	10000	0	9.35E+01	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	9.84E+01	10000	0	1.04E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	1.51E+02	10000	0	1.26E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	2.30E+02	10000	0	1.99E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	2.37E+02	10000	0	2.68E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	3.62E+02	10000	0	3.32E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	4.42E+02	10000	0	4.18E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	5.53E+02	10000	0	4.05E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	7.69E+02	10000	0	4.58E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	8.74E+02	10000	0	4.77E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	9.60E+02	10000	0	5.37E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	1.73E+03	10000	0	5.03E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	3.01E+03	10000	0	4.96E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	0	0	0	0	0	0	0	0	0	3.24E+03	10000	0	5.14E+02	NA	1	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	6.31E-01	NA	0	10000	0	1.02E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	1.12E+00	NA	0	10000	0	1.13E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	1.55E+00	NA	0	10000	0	1.06E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	1.90E+00	NA	0	10000	0	1.40E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	2.51E+00	NA	0	10000	0	1.61E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	3.12E+00	NA	0	10000	0	2.54E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	3.54E+00	NA	0	10000	0	2.69E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	4.83E+00	NA	0	10000	0	3.44E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	4.84E+00	NA	0	10000	0	3.34E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	9.90E+00	NA	0	10000	0	3.69E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	1.09E+01	NA	0	10000	0	3.76E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
7.3	0	0	0	0	0	0	0	0	0	8.71E+01	NA	0	10000	0	3.77E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	1.50E+00	NA	0	10000	0	1.17E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	4.03E+00	NA	0	10000	0	2.76E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	1.49E+01	NA	0	10000	0	3.90E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	8.87E+01	NA	0	10000	0	3.85E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	2.88E+02	NA	0	10000	0	3.95E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	9.89E+02	NA	0	10000	0	4.16E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
8	0	0	0	0	0	0	0	0	0	1.01E+04	NA	0	10000	0	4.36E+02	NA	3	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	3.62E-01	NA	0	10000	0	NA	1.77E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	5.11E-01	NA	0	10000	0	NA	2.10E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	1.17E+00	NA	0	10000	0	NA	4.41E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	1.47E+00	NA	0	10000	0	NA	4.91E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	2.37E+00	NA	0	10000	0	NA	6.18E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	2.57E+00	NA	0	10000	0	NA	8.83E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	3.93E+00	NA	0	10000	0	NA	8.89E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	5.27E+00	NA	0	10000	0	NA	1.16E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	8.28E+00	NA	0	10000	0	NA	1.23E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	1.06E+01	NA	0	10000	0	NA	1.63E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	2.08E+01	NA	0	10000	0	NA	1.77E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	13	0	0	0	0	0	0	0	0	3.30E+01	NA	0	10000	0	NA	1.91E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	1.00E-02	NA	21.4	NA	0	10000	0	NA	1.69E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	7.53E+00	NA	21.4	NA	0	10000	0	NA	1.45E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	1.89E+01	NA	21.4	NA	0	10000	0	NA	1.28E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	3.81E+01	NA	21.4	NA	0	10000	0	NA	1.05E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	7.57E+01	NA	21.4	NA	0	10000	0	NA	1.08E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	1.90E+02	NA	21.4	NA	0	10000	0	NA	1.02E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	0	0	21.4	NA	2.05E+02	10000	0	NA	1.31E+00	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	0	0	21.4	NA	6.07E+02	10000	0	NA	8.83E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	0	0	21.4	NA	1.00E+03	10000	0	NA	4.75E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	0	0	21.4	NA	2.01E+03	10000	0	NA	4.67E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
5.6	30	0	0	0	0	0	0	0	0	21.4	NA	4.01E+03	10000	0	NA	3.64E-01	4	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	1.00E-02	10000	0.233333	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	50	10000	0.279533	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	100	10000	0.2394	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	200	10000	0.133467	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	400	10000	0.0896	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	800	10000	0.0963667	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	1100	10000	0.0928667	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	1400	10000	0.0963667	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	2000	10000	0.112233	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	2500	10000	0.1225	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	3000	10000	0.137433	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	3500	10000	0.181767	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	4000	10000	0.2107	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	5000	10000	0.180133	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	7000	10000	0.190633	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	0	100	0	300	NA	0	0	0	0	10000	10000	0.2303	NA	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	1.05E+00	10000	0	1.81E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	9.71E+01	10000	0	2.73E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	1.93E+02	10000	0	3.70E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	4.91E+02	10000	0	3.82E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	9.96E+02	10000	0	4.09E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	1.98E+03	10000	0	4.38E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	4.98E+03	10000	0	4.64E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	7.00E+03	10000	0	5.08E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
5.7	0	0	0	100	0	300	NA	0	0	0	0	9.99E+03	10000	0	5.19E+02	NA	5	2002	Bioc 	41	462	KashlanOB	mouse	
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	1.00E-02	10000	0.18	NA	4.40E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	# k and vdG same solutions
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	16.9	10000	0.1782	NA	4.97E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	56.3	10000	0.1566	NA	5.17E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	169	10000	0.1476	NA	5.10E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	322	10000	0.099	NA	5.68E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	
0.86	6.2	0	0	0	350	0	0	2.1	NA	0	0	563	10000	0.0684	NA	4.70E-01	6	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	1.00E-02	10000	0.0963438	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	50	10000	0.146037	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	100	10000	0.23178	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	200	10000	0.248534	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	300	10000	0.206265	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	400	10000	0.19349	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	500	10000	0.228436	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	600	10000	0.202954	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	800	10000	0.176301	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	1000	10000	0.195864	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	1500	10000	0.168041	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	2000	10000	0.232783	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	3000	10000	0.278966	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	2500	10000	0.276825	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.2	2	0	1000	0	0	0	0	0	0	0	0	10000	10000	0.3	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	1.00E-02	10000	0.00666001	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	1.00E-02	10000	0.020535	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	22	10000	0.026085	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	50	10000	0.0791801	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	72.5	10000	0.0523551	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	100	10000	0.120065	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	150	10000	0.1295	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	182	10000	0.114885	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	300	10000	0.10508	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	500	10000	0.11544	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	650	10000	0.141895	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	1000	10000	0.168905	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
1.6	6.6	810	0	0	0	0	0	0	0	0	0	2400	10000	0.238095	NA	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	1.00E-02	10000	0	1.08E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	# guess zero
7	0	0	1000	0	0	0	0	0	0	0	0	5.00E+00	10000	0	1.22E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	# guess 5
7	0	0	1000	0	0	0	0	0	0	0	0	1.00E+01	10000	0	1.32E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	# guess10
7	0	0	1000	0	0	0	0	0	0	0	0	2.18E+01	10000	0	1.45E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	5.45E+01	10000	0	1.50E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	9.82E+01	10000	0	1.65E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	2.07E+02	10000	0	1.67E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	7.64E+01	10000	0	2.01E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	1.42E+02	10000	0	2.15E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	3.49E+02	10000	0	2.35E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	2.29E+02	10000	0	2.66E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	3.38E+02	10000	0	3.11E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	6.98E+02	10000	0	3.47E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	5.35E+02	10000	0	3.63E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	4.36E+02	10000	0	3.81E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	8.07E+02	10000	0	3.98E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	8.62E+02	10000	0	4.25E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	1.39E+03	10000	0	4.04E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	0	1000	0	0	0	0	0	0	0	0	3.24E+03	10000	0	4.75E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	1000	0	0	0	0	0	0	0	0	0	1.00E-02	10000	0	1.06E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	1000	0	0	0	0	0	0	0	0	0	3.43E+01	10000	0	1.18E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	1000	0	0	0	0	0	0	0	0	0	7.63E+01	10000	0	1.36E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	1000	0	0	0	0	0	0	0	0	0	1.04E+02	10000	0	1.64E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
7	0	1000	0	0	0	0	0	0	0	0	0	1.53E+02	10000	0	1.71E+02	NA	7	2002	Bioc 	41	462	KashlanOB	mouse	
